"နေပြည်တော်(ပြည်ထောင်စုနယ်မြေ),ဇမ္ဗူသီရိမြို့နယ်,ဇေယျသိဒ္ဓိ ရပ်ကွက်,1501001"
"နေပြည်တော်(ပြည်ထောင်စုနယ်မြေ),ဇမ္ဗူသီရိမြို့နယ်,ပညာသိဒ္ဓိ ရပ်ကွက်,1501002"
"နေပြည်တော်(ပြည်ထောင်စုနယ်မြေ),ဇမ္ဗူသီရိမြို့နယ်,မင်္ဂလာသိဒ္ဓိ ရပ်ကွက်,1501003"
"နေပြည်တော်(ပြည်ထောင်စုနယ်မြေ),ဇမ္ဗူသီရိမြို့နယ်,ဘောဂသိဒ္ဓိ ရပ်ကွက်,1501004"
"နေပြည်တော်(ပြည်ထောင်စုနယ်မြေ),ဇမ္ဗူသီရိမြို့နယ်,သပြေကုန်း ရပ်ကွက်,1501005"
"နေပြည်တော်(ပြည်ထောင်စုနယ်မြေ),ဇမ္ဗူသီရိမြို့နယ်,ဝဏ္ဏသိဒ္ဓိ ရပ်ကွက်,1501006"
"နေပြည်တော်(ပြည်ထောင်စုနယ်မြေ),ဇမ္ဗူသီရိမြို့နယ်,သုခသိဒ္ဓိ ရပ်ကွက်,1501007"
"နေပြည်တော်(ပြည်ထောင်စုနယ်မြေ),ဇမ္ဗူသီရိမြို့နယ်,ဉာဏသိဒ္ဓိ ရပ်ကွက်,1501008"
"နေပြည်တော်(ပြည်ထောင်စုနယ်မြေ),ဇမ္ဗူသီရိမြို့နယ်,ဗလသိဒ္ဓိ ရပ်ကွက်,1501009"
"နေပြည်တော်(ပြည်ထောင်စုနယ်မြေ),ဇမ္ဗူသီရိမြို့နယ်,ဓနသိဒ္ဓိ ရပ်ကွက်,1501010"
"နေပြည်တော်(ပြည်ထောင်စုနယ်မြေ),ဇမ္ဗူသီရိမြို့နယ်,ရွှေကြာပင် ရပ်ကွက်,1501011"
"နေပြည်တော်(ပြည်ထောင်စုနယ်မြေ),ဇမ္ဗူသီရိမြို့နယ်,အောင်ဇမ္ဗူ ရပ်ကွက်,1501012"
"နေပြည်တော်(ပြည်ထောင်စုနယ်မြေ),ဇမ္ဗူသီရိမြို့နယ်,တဲကြီးကုန်း ကျေးရွာအုပ်စု,1501200"
"နေပြည်တော်(ပြည်ထောင်စုနယ်မြေ),ဇမ္ဗူသီရိမြို့နယ်,အလျင်လို ကျေးရွာအုပ်စု,1501201"
"နေပြည်တော်(ပြည်ထောင်စုနယ်မြေ),ဇမ္ဗူသီရိမြို့နယ်,ပြန့်ကပြေး ကျေးရွာအုပ်စု,1501202"
"နေပြည်တော်(ပြည်ထောင်စုနယ်မြေ),ပျဉ်းမနားမြို့နယ်,ရွာကောက် ရပ်ကွက်,1502001"
"နေပြည်တော်(ပြည်ထောင်စုနယ်မြေ),ပျဉ်းမနားမြို့နယ်,ရန်အောင် (၁) ရပ်ကွက်,1502002"
"နေပြည်တော်(ပြည်ထောင်စုနယ်မြေ),ပျဉ်းမနားမြို့နယ်,ရန်အောင် (၂) ရပ်ကွက်,1502003"
"နေပြည်တော်(ပြည်ထောင်စုနယ်မြေ),ပျဉ်းမနားမြို့နယ်,ရွှေချီ ရပ်ကွက်,1502004"
