Region,Town / Township,Quarter / Village Tract,Postal Code
Naypyitaw Union Territory,Za Bu Thi Ri Township,Zay Ya Theik Di Quarter,1501001
Naypyitaw Union Territory,Za Bu Thi Ri Township,Pyin Nyar Theik Di Quarter,1501002
Naypyitaw Union Territory,Za Bu Thi Ri Township,Min Ga Lar Theik Di Quarter,1501003
Naypyitaw Union Territory,Za Bu Thi Ri Township,Baw Ga Theik Di Quarter,1501004
Naypyitaw Union Territory,Za Bu Thi Ri Township,Tha Pyay Kone Quarter,1501005
Naypyitaw Union Territory,Za Bu Thi Ri Township,Wun Na Theik Di Quarter,1501006
Naypyitaw Union Territory,Za Bu Thi Ri Township,Thu Kha Theik Di Quarter,1501007
Naypyitaw Union Territory,Za Bu Thi Ri Township,Nyar Na Theik Di Quarter,1501008
Naypyitaw Union Territory,Za Bu Thi Ri Township,Ba La Theik Di Quarter,1501009
Naypyitaw Union Territory,Za Bu Thi Ri Township,Dha Na Theik Di Quarter,1501010
Naypyitaw Union Territory,Za Bu Thi Ri Township,Shwe Kyar Pin Quarter,1501011
Naypyitaw Union Territory,Za Bu Thi Ri Township,Aung Zabu Quarter,1501012
Naypyitaw Union Territory,Za Bu Thi Ri Township,Te Gyi Kone Village Tract,1501200
Naypyitaw Union Territory,Za Bu Thi Ri Township,Ah Hlyin Lo Village Tract,1501201
Naypyitaw Union Territory,Za Bu Thi Ri Township,Pyant Ka Pyay Village Tract,1501202
Naypyitaw Union Territory,Pyinmana Township,Ywar Kauk Quarter,1502001
Naypyitaw Union Territory,Pyinmana Township,Yan Aung (1) Quarter,1502002
Naypyitaw Union Territory,Pyinmana Township,Yan Aung (2) Quarter,1502003
Naypyitaw Union Territory,Pyinmana Township,Shwe Chi Quarter,1502004
Naypyitaw Union Territory,Pyinmana Township,Min Ga Lar Quarter,1502005
Naypyitaw Union Territory,Pyinmana Township,Baw Ga Wa Di Quarter,1502006
Naypyitaw Union Territory,Pyinmana Township,U Yin Su Quarter,1502007
Naypyitaw Union Territory,Pyinmana Township,Kin Pun Tan Village Tract,1502200
Naypyitaw Union Territory,Pyinmana Township,Kan U Village Tract,1502201
Naypyitaw Union Territory,Pyinmana Township,Ku Toet Seik Village Tract,1502202
Naypyitaw Union Territory,Pyinmana Township,Kyee Inn Village Tract,1502203
Naypyitaw Union Territory,Pyinmana Township,Nga Kaung Kan Village Tract,1502204
Naypyitaw Union Territory,Pyinmana Township,Kyun Oo Village Tract,1502205
Naypyitaw Union Territory,Pyinmana Township,Sin Thay Village Tract,1502206
Naypyitaw Union Territory,Pyinmana Township,Zee Hpyu Pin Village Tract,1502207
Naypyitaw Union Territory,Pyinmana Township,Nyaung Pin Thar Village Tract,1502208
Naypyitaw Union Territory,Pyinmana Township,Taung Thar Village Tract,1502209
Naypyitaw Union Territory,Pyinmana Township,Hnan Taw Village Tract,1502210
Naypyitaw Union Territory,Pyinmana Township,Nat Tha Ye Village Tract,1502211
Naypyitaw Union Territory,Pyinmana Township,Pyu Twin Village Tract,1502212
Naypyitaw Union Territory,Pyinmana Township,Pyin Ma Nar Haung Village Tract,1502213
Naypyitaw Union Territory,Pyinmana Township,Yauk Thwar Inn Village Tract,1502214
Naypyitaw Union Territory,Pyinmana Township,Ywar Thar Village Tract,1502215
Naypyitaw Union Territory,Pyinmana Township,Ywar Thit Village Tract,1502216
Naypyitaw Union Territory,Pyinmana Township,Le Lu Aing Village Tract,1502217
Naypyitaw Union Territory,Pyinmana Township,Thit Lay Lone Village Tract,1502218
Naypyitaw Union Territory,Pyinmana Township,Tha Nat Pin Seik Village Tract,1502219
Naypyitaw Union Territory,Pyinmana Township,Mei Za Li Kone Village Tract,1502220
Naypyitaw Union Territory,Pyinmana Township,U Yin Su Village Tract,1502221
Naypyitaw Union Territory,Pyinmana Township,Koe Tit Village Tract,1502222
Naypyitaw Union Territory,Pyinmana Township,Bant Bar Village Tract,1502223
Naypyitaw Union Territory,Pyinmana Township,Thit Tun Village Tract,1502224
Naypyitaw Union Territory,Pyinmana Township,Pyay Taung Koe Village Tract,1502225
Naypyitaw Union Territory,Pyinmana Township,Boet Ma Village Tract,1502226
Naypyitaw Union Territory,Pyinmana Township,Me Pauk Village Tract,1502227
Naypyitaw Union Territory,Pyinmana Township,Ah Lel Chaung Village Tract,1502228
Naypyitaw Union Territory,Pyinmana Township,Tha Kyar Set Village Tract,1502229
Naypyitaw Union Territory,Pyinmana Township,Thar Yar Kone Village Tract,1502230
Naypyitaw Union Territory,Tatkon Township,Ba Yint Naung Quarter,1503001
Naypyitaw Union Territory,Tatkon Township,Aung Zay Ya Quarter,1503002
Naypyitaw Union Territory,Tatkon Township,Mya Wa Di Quarter,1503003
Naypyitaw Union Territory,Tatkon Township,Bo Min Yaung Quarter,1503004
Naypyitaw Union Territory,Tatkon Township,Sa Yar San Quarter,1503005
Naypyitaw Union Territory,Tatkon Township,Ah Naw Ra Htar Quarter,1503006
Naypyitaw Union Territory,Tatkon Township,Kin Thar Village Tract,1503200
Naypyitaw Union Territory,Tatkon Township,Kha Yan Sat Kone Village Tract,1503201
Naypyitaw Union Territory,Tatkon Township,Htone Hpo Village Tract,1503202
Naypyitaw Union Territory,Tatkon Township,Byaing Inn Village Tract,1503203
Naypyitaw Union Territory,Tatkon Township,Shauk Kone Village Tract,1503204
Naypyitaw Union Territory,Tatkon Township,Kyar Thay Aing Village Tract,1503205
Naypyitaw Union Territory,Tatkon Township,Kan Gyi Village Tract,1503206
Naypyitaw Union Territory,Tatkon Township,Kyauk Sa Yit Kone Village Tract,1503207
Naypyitaw Union Territory,Tatkon Township,Te Myint Village Tract,1503208
Naypyitaw Union Territory,Tatkon Township,Nyaung Kaing Village Tract,1503209
Naypyitaw Union Territory,Tatkon Township,Ma Gyi Kone Village Tract,1503210
Naypyitaw Union Territory,Tatkon Township,Aung Myay Yeik Thar Village Tract,1503211
Naypyitaw Union Territory,Tatkon Township,Kyet Thun Khin Village Tract,1503212
Naypyitaw Union Territory,Tatkon Township,Nyaung Lunt Village Tract,1503213
Naypyitaw Union Territory,Tatkon Township,Tha Pyay Kone Village Tract,1503214
Naypyitaw Union Territory,Tatkon Township,Ma Gyi Pin Village Tract,1503215
Naypyitaw Union Territory,Tatkon Township,Oke Shit Kone Village Tract,1503216
Naypyitaw Union Territory,Tatkon Township,Kyay Chaung Village Tract,1503217
Naypyitaw Union Territory,Tatkon Township,Thit Sein Pin Village Tract,1503218
Naypyitaw Union Territory,Tatkon Township,Ohn Pin Village Tract,1503219
Naypyitaw Union Territory,Tatkon Township,Kan Hla Village Tract,1503220
Naypyitaw Union Territory,Tatkon Township,Nyaung Tone Aing Village Tract,1503221
Naypyitaw Union Territory,Tatkon Township,Shwe Myo Village Tract,1503222
Naypyitaw Union Territory,Tatkon Township,Tha Pyay Chaung Village Tract,1503223
Naypyitaw Union Territory,Tatkon Township,Kin Mun Tan Village Tract,1503224
Naypyitaw Union Territory,Tatkon Township,Za Yat Gyi Kone Village Tract,1503225
Naypyitaw Union Territory,Tatkon Township,Yway Su Village Tract,1503226
Naypyitaw Union Territory,Tatkon Township,Htan Taw Gyi Village Tract,1503227
Naypyitaw Union Territory,Tatkon Township,Kyoe Kyar Inn Village Tract,1503228
Naypyitaw Union Territory,Tatkon Township,Gwayt Gyi Village Tract,1503229
Naypyitaw Union Territory,Tatkon Township,Yae Aye Village Tract,1503230
Naypyitaw Union Territory,Tatkon Township,Ah Lel Kyun Village Tract,1503231
Naypyitaw Union Territory,Tatkon Township,Myauk Myaik Village Tract,1503232
Naypyitaw Union Territory,Tatkon Township,Let Pan Village Tract,1503233
Naypyitaw Union Territory,Tatkon Township,Shar Taw Village Tract,1503234
Naypyitaw Union Territory,Tatkon Township,In Pin Village Tract,1503235
Naypyitaw Union Territory,Tatkon Township,Kyee Inn Village Tract,1503236
Naypyitaw Union Territory,Tatkon Township,Thar Yar Aye Village Tract,1503237
Naypyitaw Union Territory,Tatkon Township,Than Pa Yar Kone Village Tract,1503238
Naypyitaw Union Territory,Tatkon Township,Myet Ye Village Tract,1503239
Naypyitaw Union Territory,Tatkon Township,Hlwa Pon Village Tract,1503240
Naypyitaw Union Territory,Tatkon Township,Lel Za Pin Village Tract,1503241
Naypyitaw Union Territory,Tatkon Township,Aint Kyei Village Tract,1503242
Naypyitaw Union Territory,Tatkon Township,Tha Hpan Chaung Village Tract,1503243
Naypyitaw Union Territory,Tatkon Township,Kyaung Kone Village Tract,1503244
Naypyitaw Union Territory,Tatkon Township,Lel Pyin Ma Village Tract,1503245
Naypyitaw Union Territory,Tatkon Township,Aye Chan Thar San Pya Village Tract,1503246
Naypyitaw Union Territory,Tatkon Township,Shwe Maung Gut Village Tract,1503247
Naypyitaw Union Territory,Tatkon Township,Aung Tha Pyay Village Tract,1503248
Naypyitaw Union Territory,Lewe Township,No (1) Quarter,1504001
Naypyitaw Union Territory,Lewe Township,No (2) Quarter,1504002
Naypyitaw Union Territory,Lewe Township,No (3) Quarter,1504003
Naypyitaw Union Territory,Lewe Township,No (4) Quarter,1504004
Naypyitaw Union Territory,Lewe Township,No (5) Quarter,1504005
Naypyitaw Union Territory,Lewe Township,No (6) Quarter,1504006
Naypyitaw Union Territory,Lewe Township,No (7) Quarter,1504007
Naypyitaw Union Territory,Lewe Township,Kyoet Pin Village Tract,1504200
Naypyitaw Union Territory,Lewe Township,Ku Tha Peik Village Tract,1504201
Naypyitaw Union Territory,Lewe Township,Kan Thar Village Tract,1504202
Naypyitaw Union Territory,Lewe Township,Kya Thaung Taung Village Tract,1504203
Naypyitaw Union Territory,Lewe Township,Kyaung Yae Village Tract,1504204
Naypyitaw Union Territory,Lewe Township,Kyoet Kone Village Tract,1504205
Naypyitaw Union Territory,Lewe Township,Kyauk Ta Lone Kyaung Su Village Tract,1504206
Naypyitaw Union Territory,Lewe Township,Kone Thar Village Tract,1504207
Naypyitaw Union Territory,Lewe Township,Pyan Chi Village Tract,1504208
Naypyitaw Union Territory,Lewe Township,Yae Kar Village Tract,1504209
Naypyitaw Union Territory,Lewe Township,Chaung Kyoe Village Tract,1504210
Naypyitaw Union Territory,Lewe Township,Chaung Gwa Village Tract,1504211
Naypyitaw Union Territory,Lewe Township,Kha Yan Kaing Village Tract,1504212
Naypyitaw Union Territory,Lewe Township,Saing Gaung Yoe Village Tract,1504213
Naypyitaw Union Territory,Lewe Township,Si Paing Village Tract,1504214
Naypyitaw Union Territory,Lewe Township,Swei Taw Hmyaung Village Tract,1504215
Naypyitaw Union Territory,Lewe Township,Nyo Pin Village Tract,1504216
Naypyitaw Union Territory,Lewe Township,Ti Taung (Tei Taung) Village Tract,1504217
Naypyitaw Union Territory,Lewe Township,Ta Loke Pin Village Tract,1504218
Naypyitaw Union Territory,Lewe Township,Da Lant Chun Village Tract,1504219
Naypyitaw Union Territory,Lewe Township,Naung Bo Village Tract,1504220
Naypyitaw Union Territory,Lewe Township,Pyi Win Village Tract,1504221
Naypyitaw Union Territory,Lewe Township,Pi Tauk Chaung Village Tract,1504222
Naypyitaw Union Territory,Lewe Township,Pyaung Gaung Gyi Village Tract,1504223
Naypyitaw Union Territory,Lewe Township,Pin Thaung Village Tract,1504224
Naypyitaw Union Territory,Lewe Township,Mway Yoe Kyaung Su Village Tract,1504225
Naypyitaw Union Territory,Lewe Township,U Yin Su Village Tract,1504226
Naypyitaw Union Territory,Lewe Township,Shwe Pyi Aye Village Tract,1504227
Naypyitaw Union Territory,Lewe Township,Ma Tawt Pin Village Tract,1504228
Naypyitaw Union Territory,Lewe Township,Yae Oe Sin Village Tract,1504229
Naypyitaw Union Territory,Lewe Township,Yone Pin Village Tract,1504230
Naypyitaw Union Territory,Lewe Township,Shar Chaung Village Tract,1504231
Naypyitaw Union Territory,Lewe Township,Lel Tar Gyi Village Tract,1504232
Naypyitaw Union Territory,Lewe Township,Wet Ka Mu Village Tract,1504233
Naypyitaw Union Territory,Lewe Township,Win Te Ku Village Tract,1504234
Naypyitaw Union Territory,Lewe Township,Tha Pyay Pin Village Tract,1504235
Naypyitaw Union Territory,Lewe Township,Pay Tone Hmyaung Village Tract,1504236
Naypyitaw Union Territory,Lewe Township,Shan Su Gyi Village Tract,1504237
Naypyitaw Union Territory,Lewe Township,Thit Poke Pin Village Tract,1504238
Naypyitaw Union Territory,Lewe Township,Min Pyin Village Tract,1504239
Naypyitaw Union Territory,Lewe Township,Ya Bein Village Tract,1504240
Naypyitaw Union Territory,Lewe Township,Aung Thar Village Tract,1504241
Naypyitaw Union Territory,Lewe Township,Tha Yet Chaung Village Tract,1504242
Naypyitaw Union Territory,Lewe Township,Thaw Maw Kone Village Tract,1504243
Naypyitaw Union Territory,Lewe Township,Thit Kyein Village Tract,1504244
Naypyitaw Union Territory,Lewe Township,Thea Kaw Gyi Village Tract,1504245
Naypyitaw Union Territory,Lewe Township,Thit Seint Pin Village Tract,1504246
Naypyitaw Union Territory,Lewe Township,Thet Kei Chin Village Tract,1504247
Naypyitaw Union Territory,Lewe Township,Tha Pyay Kone Village Tract,1504248
Naypyitaw Union Territory,Lewe Township,Thar Wut Hti Village Tract,1504249
Naypyitaw Union Territory,Lewe Township,Pauk Myaing Village Tract,1504250
Naypyitaw Union Territory,Lewe Township,Tha Yet Kone Village Tract,1504251
Naypyitaw Union Territory,Lewe Township,In Pin Village Tract,1504252
Naypyitaw Union Territory,Lewe Township,Aung Kone Village Tract,1504253
Naypyitaw Union Territory,Lewe Township,Aye Lar Village Tract,1504254
Naypyitaw Union Territory,Lewe Township,Ah Lel Kyun Village Tract,1504255
Naypyitaw Union Territory,Lewe Township,Aye Chan Thar Village Tract,1504256
Naypyitaw Union Territory,Lewe Township,Zali Hnget Gyi Taung Village Tract,1504257
Naypyitaw Union Territory,Lewe Township,Oke Shit Hlaing Village Tract,1504258
Naypyitaw Union Territory,Lewe Township,Shwe Pyi Thar Village Tract,1504259
Naypyitaw Union Territory,Zay Yar Thi Ri Township,Kyan Sit Thar Quarter,1505001
Naypyitaw Union Territory,Zay Yar Thi Ri Township,Ah Naw Ra Htar Quarter,1505002
Naypyitaw Union Territory,Zay Yar Thi Ri Township,Pyi San Aung Quarter,1505003
Naypyitaw Union Territory,Zay Yar Thi Ri Township,Aung Zay Ya Quarter,1505004
Naypyitaw Union Territory,Zay Yar Thi Ri Township,Poke Par Kone Quarter,1505005
Naypyitaw Union Territory,Zay Yar Thi Ri Township,Kyauk Chet Village Tract,1505200
Naypyitaw Union Territory,Zay Yar Thi Ri Township,vKyun Yaung Village Tract,1505201
Naypyitaw Union Territory,Zay Yar Thi Ri Township,Thar Si Village Tract,1505202
Naypyitaw Union Territory,Zay Yar Thi Ri Township,Ma Au Taw Village Tract,1505203
Naypyitaw Union Territory,Zay Yar Thi Ri Township,Yae Sin Village Tract,1505204
Naypyitaw Union Territory,Zay Yar Thi Ri Township,Thit Tat Village Tract,1505205
Naypyitaw Union Territory,Zay Yar Thi Ri Township,Thet Hnin Inn Village Tract,1505206
Naypyitaw Union Territory,Zay Yar Thi Ri Township,Kyi Taung Village Tract,1505207
Naypyitaw Union Territory,Zay Yar Thi Ri Township,Khit Aye Village Tract,1505208
Naypyitaw Union Territory,Zay Yar Thi Ri Township,Nan Aw Village Tract,1505209
Naypyitaw Union Territory,Zay Yar Thi Ri Township,Kyauk Hpyar Village Tract,1505210
Naypyitaw Union Territory,Zay Yar Thi Ri Township,Si Pin Gyi Village Tract,1505211
Naypyitaw Union Territory,Zay Yar Thi Ri Township,Thar Yar Kone Village Tract,1505212
Naypyitaw Union Territory,Det Khi Na Thi Ri Township,Det Khi Na Thi Ri Quarter,1506001
Naypyitaw Union Territory,Det Khi Na Thi Ri Township,Shwe In Gyin Quarter,1506002
Naypyitaw Union Territory,Det Khi Na Thi Ri Township,Kyar Pin Village Tract,1506200
Naypyitaw Union Territory,Det Khi Na Thi Ri Township,Kyun Ta Peit Village Tract,1506201
Naypyitaw Union Territory,Det Khi Na Thi Ri Township,Yan Aung Myin Village Tract,1506202
Naypyitaw Union Territory,Det Khi Na Thi Ri Township,Doe Nwe Village Tract,1506203
Naypyitaw Union Territory,Det Khi Na Thi Ri Township,Ku Hnit Lone Se Su Village Tract,1506204
Naypyitaw Union Territory,Det Khi Na Thi Ri Township,Shwe Khe Inn Village Tract,1506205
Naypyitaw Union Territory,Det Khi Na Thi Ri Township,Chaing Village Tract,1506206
Naypyitaw Union Territory,Det Khi Na Thi Ri Township,Ywar Ma Village Tract,1506207
Naypyitaw Union Territory,Poke Ba Thi Ri Township,Ba Yint Naung Quarter,1507001
Naypyitaw Union Territory,Poke Ba Thi Ri Township,Aung Thar Yar Quarter,1507002
Naypyitaw Union Territory,Poke Ba Thi Ri Township,Min Ga Lar Di Pa Quarter,1507003
Naypyitaw Union Territory,Poke Ba Thi Ri Township,Wunna Di Pa Quarter,1507004
Naypyitaw Union Territory,Poke Ba Thi Ri Township,Thu Kha Di Pa Quarter,1507005
Naypyitaw Union Territory,Poke Ba Thi Ri Township,Za Wa Na Di Pa Quarter,1507006
Naypyitaw Union Territory,Poke Ba Thi Ri Township,Ya Da Nar Di Pa Quarter,1507007
Naypyitaw Union Territory,Poke Ba Thi Ri Township,Zay Yar Di Pa Quarter,1507008
Naypyitaw Union Territory,Poke Ba Thi Ri Township,Shin Phyu Shin Quarter,1507009
Naypyitaw Union Territory,Poke Ba Thi Ri Township,Na Wa Day Quarter,1507010
Naypyitaw Union Territory,Poke Ba Thi Ri Township,Ta Pin Shwe Htee Quarter,1507011
Naypyitaw Union Territory,Poke Ba Thi Ri Township,Kyi Taung Kan No (1)  (Myo Thit) Quarter,1507012
Naypyitaw Union Territory,Poke Ba Thi Ri Township,Kyi Taung Kan No (2)  (Myo Ma) Quarter,1507013
Naypyitaw Union Territory,Poke Ba Thi Ri Township,Kyi Taung Kan No (3)  (Myo Haung) Quarter,1507014
Naypyitaw Union Territory,Poke Ba Thi Ri Township,Kyi Taung Kan No (4) (Kan Nar) Quarter,1507015
Naypyitaw Union Territory,Poke Ba Thi Ri Township,Kyi Taung Kan No (5)  (Sone Kone) Quarter,1507016
Naypyitaw Union Territory,Poke Ba Thi Ri Township,Kyi Taung Kan No (6)  (Thae Kyun) Quarter,1507017
Naypyitaw Union Territory,Poke Ba Thi Ri Township,Aye Myint Thar Yar Village Tract,1507200
Naypyitaw Union Territory,Poke Ba Thi Ri Township,Kyi Taung Kan Village Tract,1507201
Naypyitaw Union Territory,Poke Ba Thi Ri Township,Ywar Taw Village Tract,1507202
Naypyitaw Union Territory,Poke Ba Thi Ri Township,Thit Yar Kone Village Tract,1507203
Naypyitaw Union Territory,Poke Ba Thi Ri Township,Tha Pyay Kone Village Tract,1507204
Naypyitaw Union Territory,Poke Ba Thi Ri Township,Tha Pyay Tan Village Tract,1507205
Naypyitaw Union Territory,Poke Ba Thi Ri Township,Nyaung Pin Gyi Su Village Tract,1507206
Naypyitaw Union Territory,Poke Ba Thi Ri Township,Pu Zun Seik Village Tract,1507207
Naypyitaw Union Territory,Poke Ba Thi Ri Township,Hpyoke Khwe Village Tract,1507208
Naypyitaw Union Territory,Poke Ba Thi Ri Township,Wea Gyi Village Tract,1507209
Naypyitaw Union Territory,Poke Ba Thi Ri Township,Nyaung Lu Village Tract,1507210
Naypyitaw Union Territory,Poke Ba Thi Ri Township,Lel Yar Village Tract,1507211
Naypyitaw Union Territory,Poke Ba Thi Ri Township,U Yin Village Tract,1507212
Naypyitaw Union Territory,Poke Ba Thi Ri Township,Zee Kone Village Tract,1507213
Naypyitaw Union Territory,Poke Ba Thi Ri Township,Be Kone Village Tract,1507214
Naypyitaw Union Territory,Poke Ba Thi Ri Township,Seik Nan Kone Village Tract,1507215
Naypyitaw Union Territory,Poke Ba Thi Ri Township,Mee Laung Kone Village Tract,1507216
Naypyitaw Union Territory,Poke Ba Thi Ri Township,Tha Pyay San Village Tract,1507217
Naypyitaw Union Territory,Oke Ta Ra Thi Ri Township,Shwe Nant Thar Quarter,1508001
Naypyitaw Union Territory,Oke Ta Ra Thi Ri Township,Oke Ta Ra Thi Ri Quarter,1508002
Naypyitaw Union Territory,Oke Ta Ra Thi Ri Township,Za Laung Village Tract,1508200
Naypyitaw Union Territory,Oke Ta Ra Thi Ri Township,Taung Nyo Village Tract,1508201
Naypyitaw Union Territory,Oke Ta Ra Thi Ri Township,Moe Swe Village Tract,1508202
Naypyitaw Union Territory,Oke Ta Ra Thi Ri Township,Maung Yan Village Tract,1508203
Naypyitaw Union Territory,Oke Ta Ra Thi Ri Township,Min Kone Village Tract,1508204
Naypyitaw Union Territory,Oke Ta Ra Thi Ri Township,Tet Shein Village Tract,1508205
Naypyitaw Union Territory,Oke Ta Ra Thi Ri Township,Tha Yet Taw Village Tract,1508206
Naypyitaw Union Territory,Oke Ta Ra Thi Ri Township,Hpa Yar Taung Village Tract,1508207
Mandalay Region,Aungmyaythazan Township,Bone Taw Toe Quarter,501001
Mandalay Region,Aungmyaythazan Township,Daw Na Bwar Quarter,501002
Mandalay Region,Aungmyaythazan Township,Ah Hneik Taw Quarter,501003
Mandalay Region,Aungmyaythazan Township,Pyi Gyi Kyet Tha Yae (East) Quarter,501004
Mandalay Region,Aungmyaythazan Township,Pyi Gyi Kyet Tha Yae (West) Quarter,501005
Mandalay Region,Aungmyaythazan Township,Pale Ngwe Yaung Quarter,501006
Mandalay Region,Aungmyaythazan Township,May Ga Gi Ri Quarter,501007
Mandalay Region,Aungmyaythazan Township,Aung Myay Thar Zan Quarter,501008
Mandalay Region,Aungmyaythazan Township,Min Tei Ei Kin Quarter,501009
Mandalay Region,Aungmyaythazan Township,Nyaung Kwe Quarter,501010
Mandalay Region,Aungmyaythazan Township,Pyi Gyi Yan Lon Quarter,501011
Mandalay Region,Aungmyaythazan Township,Pyi Lone Chan Thar Quarter,501012
Mandalay Region,Aungmyaythazan Township,Ah Ma Ra Htar Ni (East) Quarter,501013
Mandalay Region,Aungmyaythazan Township,Ah Ma Ra Htar Ni (West) Quarter,501014
Mandalay Region,Aungmyaythazan Township,U Poke Htaw Quarter,501015
Mandalay Region,Aungmyaythazan Township,Oe Bo Quarter,501016
Mandalay Region,Aungmyaythazan Township,Thi Ri Mar Lar (East) Quarter,501017
Mandalay Region,Aungmyaythazan Township,Thi Ri Mar Lar (West) Quarter,501018
Mandalay Region,Aungmyaythazan Township,Ma Har Zay Yar Bon Quarter,501019
Mandalay Region,Chanayethazan Township,Aung Nan Yeik Thar (East) Quarter,502001
Mandalay Region,Chanayethazan Township,Aung Nan Yeik Thar (West) Quarter,502002
Mandalay Region,Chanayethazan Township,Chan Aye Thar Zan (East) Quarter,502003
Mandalay Region,Chanayethazan Township,Chan Aye Thar Zan (Middle) Quarter,502004
Mandalay Region,Chanayethazan Township,Chan Aye Thar Zan (West) Quarter,502005
Mandalay Region,Chanayethazan Township,Day Wun (West) Quarter,502006
Mandalay Region,Chanayethazan Township,Hay Mar Za La Quarter,502007
Mandalay Region,Chanayethazan Township,Kan Kauk Quarter,502008
Mandalay Region,Chanayethazan Township,Kit Sa Na Ma Hi Quarter,502009
Mandalay Region,Chanayethazan Township,Maw Ra Gi War Quarter,502010
Mandalay Region,Chanayethazan Township,Pat Kone Pyaw Bwei Quarter,502011
Mandalay Region,Chanayethazan Township,Pat Kone Wun Kyin Quarter,502012
Mandalay Region,Chanayethazan Township,Pyi Gyi Myet Hman Quarter,502013
Mandalay Region,Chanayethazan Township,Pyi Gyi Myet Shin Quarter,502014
Mandalay Region,Chanayethazan Township,Pyi Gyi Pyawbwe (East) Quarter,502015
Mandalay Region,Chanayethazan Township,Pyi Gyi Pyawbwe (West) Quarter,502016
Mandalay Region,Chanayethazan Township,Seik Ta Ra Ma Hi Quarter,502017
Mandalay Region,Chanayethazan Township,Thi Ri Hay Mar (East) Quarter,502018
Mandalay Region,Chanayethazan Township,Thi Ri Hay Mar (West) Quarter,502019
Mandalay Region,Chanayethazan Township,Yan Myo Lon Quarter,502020
Mandalay Region,Mahaaungmyay Township,Ma Har Nwe Sin Quarter,503001
Mandalay Region,Mahaaungmyay Township,Set Kyar Nwe Sin Quarter,503002
Mandalay Region,Mahaaungmyay Township,Hay Ma Mar Lar (North) Quarter,503003
Mandalay Region,Mahaaungmyay Township,Hay Ma Mar Lar (South) Quarter,503004
Mandalay Region,Mahaaungmyay Township,Ya Da Nar Bon Mi (East) Quarter,503005
Mandalay Region,Mahaaungmyay Township,Ya Da Nar Bon Mi (West) Quarter,503006
Mandalay Region,Mahaaungmyay Township,Ma Har Aung Myay (East) Quarter,503007
Mandalay Region,Mahaaungmyay Township,Ma Har Aung Myay (West) Quarter,503008
Mandalay Region,Mahaaungmyay Township,Shwe Hpone Shein Quarter,503009
Mandalay Region,Mahaaungmyay Township,Chan Mya Thar Zi (North) Quarter,503010
Mandalay Region,Mahaaungmyay Township,Tet Ka Tho Quarter,503011
Mandalay Region,Mahaaungmyay Township,Sein Pan Quarter,503012
Mandalay Region,Mahaaungmyay Township,Day Wun (East) Quarter,503013
Mandalay Region,Mahaaungmyay Township,Than Hlyat Maw (West) Quarter,503014
Mandalay Region,Mahaaungmyay Township,Than Hlyat Maw (East) Quarter,503015
Mandalay Region,Mahaaungmyay Township,Ma Har Myaing (1) Quarter,503016
Mandalay Region,Mahaaungmyay Township,Ma Har Myaing (2) Quarter,503017
Mandalay Region,Mahaaungmyay Township,Ye Mun (South) Quarter,503018
Mandalay Region,Chanmyathazi Township,Than Hlyet Maw (South) Quarter,504001
Mandalay Region,Chanmyathazi Township,Kyung Lone U Shaung Quarter,504002
Mandalay Region,Chanmyathazi Township,Tan Pa Wa Di Quarter,504003
Mandalay Region,Chanmyathazi Township,Chan Mya Thar Zi (South) Quarter,504004
Mandalay Region,Chanmyathazi Township,Myo Thit No (1) Quarter,504005
Mandalay Region,Chanmyathazi Township,Myo Thit No (2) Quarter,504006
Mandalay Region,Chanmyathazi Township,Myo Thit No (3) Quarter,504007
Mandalay Region,Chanmyathazi Township,Myo Thit No (4) Quarter,504008
Mandalay Region,Chanmyathazi Township,Myo Thit No (5) Quarter,504009
Mandalay Region,Chanmyathazi Township,Kan Thar Yar Quarter,504010
Mandalay Region,Chanmyathazi Township,Aung Pin Lel Quarter,504011
Mandalay Region,Chanmyathazi Township,Htun Tone Quarter,504012
Mandalay Region,Chanmyathazi Township,Mya Yi Nan Dar Quarter,504013
Mandalay Region,Chanmyathazi Township,Aung Thar Yar Quarter,504014
Mandalay Region,Pyigyitagon Township,Chan Mya Thar Yar Quarter,505001
Mandalay Region,Pyigyitagon Township,Ngwe Taw Kyi Kone Quarter,505002
Mandalay Region,Pyigyitagon Township,Thin Pan Kone Quarter,505003
Mandalay Region,Pyigyitagon Township,Ta Khun Taing Quarter,505004
Mandalay Region,Pyigyitagon Township,Taung Myint Quarter,505005
Mandalay Region,Pyigyitagon Township,Yar Taw Quarter,505006
Mandalay Region,Pyigyitagon Township,Htein Kone Quarter,505007
Mandalay Region,Pyigyitagon Township,(Ka Gyi) Quarter,505008
Mandalay Region,Pyigyitagon Township,(Kha Gway) Quarter,505009
Mandalay Region,Pyigyitagon Township,(Ga Nge) Quarter,505010
Mandalay Region,Pyigyitagon Township,(Ga Gyi) Quarter,505011
Mandalay Region,Pyigyitagon Township,(Nga) Quarter,505012
Mandalay Region,Pyigyitagon Township,(Sa Lone) Quarter,505013
Mandalay Region,Pyigyitagon Township,(Sa Lein) Quarter,505014
Mandalay Region,Pyigyitagon Township,(Za Gwe) Quarter,505015
Mandalay Region,Pyigyitagon Township,(Za Myin Zwe) Quarter,505016
Mandalay Region,Pyigyitagon Township,(Nya) Quarter,505017
Mandalay Region,Pyigyitagon Township,(Ta Ta Lin Cheik) Quarter,505018
Mandalay Region,Amarapura Township,Taung Gyi Quarter,506001
